,Year,Month,Common_Words,Word_Count
182,1971,10,hovered,7.666666666666667
183,1971,10,length,7.666666666666667
184,1971,10,green,4.333333333333334
185,1971,10,oval,4.333333333333334
186,1971,10,local,4.333333333333334
187,1971,10,church,4.333333333333334
188,1971,10,power,4.333333333333334
189,1971,10,lines,4.333333333333334
190,1971,10,Powerless,4.333333333333334
191,1971,10,UFO,4.333333333333334
192,1972,10,lights,11.0
193,1972,10,object,11.0
194,1972,10,room,7.666666666666667
195,1972,10,moving,7.666666666666667
196,1972,10,part,7.666666666666667
197,1972,10,shape,7.666666666666667
198,1972,10,seen,7.666666666666667
199,1972,10,CAR,7.666666666666667
200,1972,10,south,7.666666666666667
201,1972,10,october,4.333333333333334
202,1972,10,10,4.333333333333334
203,1972,10,1972,4.333333333333334
204,1972,10,5yrs.daughterƺ,4.333333333333334
205,1972,10,neices,4.333333333333334
206,1972,10,2,4.333333333333334
207,1972,10,nephews,4.333333333333334
208,1972,10,playing,4.333333333333334
209,1972,10,tag,4.333333333333334
210,1972,10,back,4.333333333333334
211,1972,10,yard,4.333333333333334
212,1973,10,1973,11.0
213,1973,10,night,9.333333333333334
214,1973,10,UFO,9.333333333333334
215,1973,10,saw,7.666666666666667
216,1973,10,sky,7.666666666666667
217,1973,10,glowing,6.0
218,1973,10,went,6.0
219,1973,10,large,6.0
220,1973,10,like,6.0
221,1973,10,friends,6.0
222,1973,10,white,6.0
223,1973,10,craft,6.0
224,1973,10,North,6.0
225,1973,10,light,6.0
226,1973,10,red,6.0
227,1973,10,shaped,6.0
228,1973,10,coming,6.0
229,1973,10,Two,4.333333333333334
230,1973,10,1,4.333333333333334
231,1973,10,sphere,4.333333333333334
232,1974,10,light,11.0
233,1974,10,saw,8.5
234,1974,10,shaped,7.25
235,1974,10,home,6.0
236,1974,10,bright,6.0
237,1974,10,1974,6.0
238,1974,10,one,6.0
239,1974,10,object,6.0
240,1974,10,sky,6.0
241,1974,10,craft,6.0
242,1974,10,time,4.75
243,1974,10,objects,4.75
244,1974,10,south,4.75
245,1974,10,lights,4.75
246,1974,10,walking,3.5
247,1974,10,l,3.5
248,1974,10,called,3.5
249,1974,10,distance,3.5
250,1974,10,Library,3.5
251,1974,10,evening,3.5
252,1975,10,fire,11.0
253,1975,10,object,11.0
254,1975,10,lights,8.5
255,1975,10,4,8.5
256,1975,10,1975,8.5
257,1975,10,sky,8.5
258,1975,10,low,8.5
259,1975,10,UFO,6.0
260,1975,10,like,6.0
261,1975,10,us,6.0
262,1975,10,near,6.0
263,1975,10,Arizona,6.0
264,1975,10,ball,6.0
265,1975,10,min,6.0
266,1975,10,saucer,6.0
267,1975,10,US,6.0
268,1975,10,human,6.0
269,1975,10,night,6.0
270,1975,10,saw,6.0
271,1975,10,living,6.0
272,1976,10,object,11.0
273,1976,10,shaped,7.0
274,1976,10,light,7.0
275,1976,10,flying,5.0
276,1976,10,car,5.0
277,1976,10,UFO,5.0
278,1976,10,red,5.0
279,1976,10,Three,3.0
280,1976,10,extremely,3.0
281,1976,10,large,3.0
282,1976,10,lights,3.0
283,1976,10,hanging,3.0
284,1976,10,nearby,3.0
285,1976,10,trees,3.0
286,1976,10,White,3.0
287,1976,10,Buckinghamshire,3.0
288,1976,10,UK,3.0
289,1976,10,disk,3.0
290,1976,10,followed,3.0
291,1976,10,path,3.0
292,1977,10,dark,11.0
293,1977,10,river,11.0
294,1977,10,saw,11.0
295,1977,10,object,11.0
296,1977,10,night,11.0
297,1977,10,25,7.666666666666667
298,1977,10,yards,7.666666666666667
299,1977,10,appeared,7.666666666666667
300,1977,10,flying,7.666666666666667
301,1977,10,camping,7.666666666666667
302,1977,10,street,7.666666666666667
303,1977,10,lights,7.666666666666667
304,1977,10,six,4.333333333333334
305,1977,10,seven,4.333333333333334
306,1977,10,family,4.333333333333334
307,1977,10,sitting,4.333333333333334
308,1977,10,next,4.333333333333334
309,1977,10,window,4.333333333333334
310,1977,10,home,4.333333333333334
311,1977,10,eating,4.333333333333334
312,1978,10,lights,11.0
313,1978,10,object,11.0
314,1978,10,like,11.0
315,1978,10,50,7.666666666666667
316,1978,10,away,7.666666666666667
317,1978,10,hovering,7.666666666666667
318,1978,10,silent,7.666666666666667
319,1978,10,one,7.666666666666667
320,1978,10,Object,7.666666666666667
321,1978,10,hovered,7.666666666666667
322,1978,10,apprx,7.666666666666667
323,1978,10,50-75,7.666666666666667
324,1978,10,NW,7.666666666666667
325,1978,10,SAW,7.666666666666667
326,1978,10,shaped,7.666666666666667
327,1978,10,seen,7.666666666666667
328,1978,10,yards,7.666666666666667
329,1978,10,Sighting,7.666666666666667
330,1978,10,vertically,7.666666666666667
331,1978,10,4,7.666666666666667
332,1979,10,lights,11.0
333,1979,10,one,11.0
334,1979,10,game,11.0
335,1979,10,bright,7.666666666666667
336,1979,10,silent,7.666666666666667
337,1979,10,UFO,7.666666666666667
338,1979,10,clouds,7.666666666666667
339,1979,10,moving,7.666666666666667
340,1979,10,object,7.666666666666667
341,1979,10,1/4,4.333333333333334
342,1979,10,moon-like,4.333333333333334
343,1979,10,'chord,4.333333333333334
344,1979,10,flat,4.333333333333334
345,1979,10,side,4.333333333333334
346,1979,10,parallel,4.333333333333334
347,1979,10,horizon,4.333333333333334
348,1979,10,orange-red,4.333333333333334
349,1979,10,glow,4.333333333333334
350,1979,10,completely,4.333333333333334
351,1979,10,features,4.333333333333334
352,1980,10,object,11.0
353,1980,10,lights,9.0
354,1980,10,shape,7.0
355,1980,10,light,7.0
356,1980,10,glowing,7.0
357,1980,10,time,7.0
358,1980,10,10/1980,7.0
359,1980,10,tree,5.0
360,1980,10,1980,5.0
361,1980,10,craft,5.0
362,1980,10,heavy,5.0
363,1980,10,night,5.0
364,1980,10,bright,5.0
365,1980,10,rural,5.0
366,1980,10,white,5.0
367,1980,10,traveling,5.0
368,1980,10,north,5.0
369,1980,10,south,5.0
370,1980,10,date,5.0
371,1980,10,slow,5.0
372,1982,10,object,11.0
373,1982,10,lights,11.0
374,1982,10,sky,7.0
375,1982,10,shaped,7.0
376,1982,10,1982,5.0
377,1982,10,light,5.0
378,1982,10,trees,5.0
379,1982,10,observed,5.0
380,1982,10,space,5.0
381,1982,10,flying,5.0
382,1982,10,high,5.0
383,1982,10,Observed,5.0
384,1982,10,glowing,5.0
385,1982,10,orange,5.0
386,1982,10,size,5.0
387,1982,10,sound,5.0
388,1982,10,gisborne,3.0
389,1982,10,nz,3.0
390,1982,10,wainui,3.0
391,1982,10,beach,3.0
392,1984,10,object,11.0
393,1984,10,seen,8.5
394,1984,10,lights,8.5
395,1984,10,night,8.5
396,1984,10,translucent,6.0
397,1984,10,sky,6.0
398,1984,10,fast,6.0
399,1984,10,moving,6.0
400,1984,10,speed,6.0
401,1984,10,degree,6.0
402,1984,10,one,6.0
403,1984,10,shaped,6.0
404,1984,10,appeared,6.0
405,1984,10,close,6.0
406,1984,10,years,6.0
407,1984,10,Extremely,6.0
408,1984,10,saw,6.0
409,1984,10,UFO,6.0
410,1984,10,2,3.5
411,1984,10,experience,3.5
412,1985,10,shaped,11.0
413,1985,10,object,11.0
414,1985,10,light,7.0
415,1985,10,5,7.0
416,1985,10,one,7.0
417,1985,10,lights,7.0
418,1985,10,saw,7.0
419,1985,10,three,5.0
420,1985,10,sky,5.0
421,1985,10,triangle,5.0
422,1985,10,feet,5.0
423,1985,10,way,5.0
424,1985,10,1985,5.0
425,1985,10,house,5.0
426,1985,10,making,5.0
427,1985,10,led,3.0
428,1985,10,big,3.0
429,1985,10,black,3.0
430,1985,10,silent,3.0
431,1985,10,craft,3.0
432,1986,10,lights,11.0
433,1986,10,UFO,7.666666666666667
434,1986,10,car,6.0
435,1986,10,object,6.0
436,1986,10,night,6.0
437,1986,10,moving,4.333333333333334
438,1986,10,slowly,4.333333333333334
439,1986,10,sound,4.333333333333334
440,1986,10,light,4.333333333333334
441,1986,10,craft,4.333333333333334
442,1986,10,green,4.333333333333334
443,1986,10,multiple,4.333333333333334
